epoch,banach_loss,betti_0_err,betti_1_err,betti_2_err,timestamp,hash
10,9.061127578053666e-13,nan,0.0,nan,1778028080.7026248,668240c43ea1c68e29fd90d300005a87c83a089f8cee52fee3de58329c4b1ffc
20,8.911284848123553e-16,nan,0.0,nan,1778028080.7036216,1916d16ca606fef18dceb01d7e7ac063f41dea836876979c3e527271dfbf1bc2
30,6.128660105880425e-16,nan,0.0,nan,1778028080.7046247,84a620ae2d419a38909ba6444153f22d895cdf43de24e9a4f9422e183661d84a
40,1.007072570069222e-15,nan,0.0,nan,1778028080.7056215,2256bc734476ee0188d265bd9203c1b5476dc8c1937e02b203636be2950d671d
50,1.8214137377581908e-16,nan,0.0,nan,1778028080.7066245,5edccbaad85465347d13a56976a209f0ada1aab897a89ff75aba5d4f16660167
60,3.621544322484884e-16,nan,0.0,nan,1778028080.7066245,d0f89e133083923f3e5757db5feca79870fcf1546b245d06a1995ae91751560b
70,4.2508955813626553e-16,nan,0.0,nan,1778028080.707625,6e062994d2c69fb0ea3e375938cba8ca3649a07c41f3b83dd4e50521e52078c2
80,2.1364591806197315e-16,nan,0.0,nan,1778028080.708625,4f16207891dc3f99c04f916b169d91acb387b51fd333c4af01d7a3b8c6f67a81
90,4.189276967574683e-16,nan,0.0,nan,1778028080.708625,cfc6704b1451b5eb2461d52cba700f05181088439a10824ce8a3e89b3feba634
100,2.1733260973369508e-16,nan,0.0,nan,1778028080.7096262,0d8087ab8fb3cf2e1550d86cb9f09169d93428221910c0bd5076b52c9b8b72f9
110,5.448247554736263e-16,nan,0.0,nan,1778028080.710624,94af21df6fb406e9a5e9c5714c37bd7f90e93542521c94cda4b3c5a2aef261c5
120,5.110820019705032e-16,nan,0.0,nan,1778028080.7116213,4e8b1c86489eff8cc9877760d2a44b66fa6257d5c3a1482ab0073087155859db
130,1.5265799943862904e-16,nan,0.0,nan,1778028080.7126226,1c91083b0cdff4d62acd5283e8350b054342bd40f4d488f85716de4b07244478
140,4.426231443960277e-16,nan,0.0,nan,1778028080.713626,cdb3bdd594ee24a290b08d496e75dce0982f8fc6094512f41585579ccdc7768b
150,5.282688133599124e-16,nan,0.0,nan,1778028080.714626,9452cd415d09a4774c1eb307d2b81987656d6888bf10e70a70a1f44e07954d71
160,6.748949862689641e-16,nan,0.0,nan,1778028080.7156262,e86d60a823e4ea72e9cf62dabd0dfd1a88333f4b9f4f976777d454945442bbb6
170,8.97990508134734e-16,nan,0.0,nan,1778028080.7166262,df60aac23feeda2c57f6889de6a93358df6eef19b2095581e7d576a4f991b787
180,3.1440239617876493e-16,nan,0.0,nan,1778028080.7176256,e27f09dff856815efcc3ee746d9b1bd171422cf21f2bf3cd08f559f0b9d43808
190,2.5524229710986925e-16,nan,0.0,nan,1778028080.7176256,e6be653429e18b19b9097c2596cadd8fc7a3ac704e7847f671d319a2d6d1dfc9
200,4.67333573396573e-16,nan,0.0,nan,1778028080.7186356,f59e751255e57c7114ed30bac334202be05bf9ede99b343e0500afca9f98c7f2
210,3.8615436253412536e-16,nan,0.0,nan,1778028080.7196395,dda2aa960141f4add39e693dba664adee231864feacfa44ae80c35659336bad3
220,9.919709674661863e-16,nan,0.0,nan,1778028080.7206392,173d353e4ab8d6b51297bb16fa5e6a03dc93ebb2e94615d3bee65ff5bbce7f0a
230,3.2701538948372064e-16,nan,0.0,nan,1778028080.7216394,d399238986fc5c731e70879d7bcf07aec71df31c4c781484d3ee87accf805251
240,3.464617435610322e-16,nan,0.0,nan,1778028080.7226393,81a31dc816d522574dd529f228c30f388b8219ca96e2fb7dca82d870c6aa3d4c
250,4.757603632732463e-16,nan,0.0,nan,1778028080.7226393,801775bd4ab2af4db1786ed2332ae611c325cd2e49ab66101d7fef303381c7fa
260,9.03576326148857e-16,nan,0.0,nan,1778028080.723638,9947c3ba5a9b4dfd645016d2f2b9270353c04a4f7234250b67e544d326cb67ca
270,9.061038121449217e-16,nan,0.0,nan,1778028080.724635,1c5a47823167954969dc9cec81c55dd85ff8f41177fea2ccc74ea45c13d6c2ff
280,4.959741042074133e-16,nan,0.0,nan,1778028080.7256384,968511bb14d30fd601874c44ef09a2c6a39d392b83435dea7a65b9024bf17765
290,5.211107832629248e-16,nan,0.0,nan,1778028080.727639,17431ee1929a76ef99f598a57f205f6a324392989e12ea1247b794392c3ffeca
300,8.406408673312394e-16,nan,0.0,nan,1778028080.7286375,247af7d87daaafc2d631aaa1279ad4adf65d1004b810d5ecc7faaf082152d7ad
310,4.375356951077776e-16,nan,0.0,nan,1778028080.7286375,ebc98b5062eb4b3b3ff7bf20afb72b8e0b53a294529271b46cd086efa438f673
320,8.989550859887808e-16,nan,0.0,nan,1778028080.729639,38cc29fc81ee9c68ce71c80caf35b6c617a3621f6cd9adfaf9d65c99701c4440
330,4.867624317614901e-16,nan,0.0,nan,1778028080.730635,6364175ce03cbf5eed4521f135fe8aa032e46067fd4f530fa6f8ce316db50f18
340,6.058768443995776e-16,nan,0.0,nan,1778028080.7316384,e2c128cfc296566299b281205e3731c1294f3287a83a69820cdc176a45a74145
350,2.3470425211905736e-16,nan,0.0,nan,1778028080.7316384,de14a48dc5cc8f1b6593140bc5843f8fa18eaba5a48921c35b15e77eb0778eb2
